BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6517,69,,A3,181 ARBUTUS AVENUE,,10312,1,0,1,"22,379","6,500",1970,1,A3,"1,810,000",2019/11/21
5,ANNADALE,01 ONE FAMILY DWELLINGS,1,6517,220,,A3,18 JANSEN COURT,,10312,1,0,1,"11,934","5,368",1990,1,A3,"1,485,000",2019/8/7
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,5405,15,,B2,88 LENZIE STREET,,10312,2,0,2,"7,500","3,498",1920,1,B2,0,2019/10/2
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6205,84,,B9,11 SEGUINE PLACE,,10312,2,0,2,"3,250","1,804",1986,1,B9,0,2019/7/5
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6205,105,,B9,64 MAY PLACE,,10312,2,0,2,"2,900","1,804",1985,1,B9,0,2019/9/19
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6209,12,,B2,196 SNEDEN AVENUE,,10312,2,0,2,"2,600","1,592",2005,1,B2,"649,000",2019/7/10
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6209,13,,B2,198 SNEDEN AVENUE,,10312,2,0,2,"2,600","1,592",2005,1,B2,"640,000",2019/8/7
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6212,30,,B9,12 LUCY LOOP,,10312,2,0,2,"3,870","1,500",2000,1,B9,"625,000",2019/7/17
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6212,34,,B9,41 LUCY LOOP,,10312,2,0,2,"5,070","1,500",2000,1,B9,0,2020/4/28
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6212,102,,B2,141 JEANETTE AVENUE,,10312,2,0,2,"4,870","2,500",2000,1,B2,0,2019/11/18
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6215,9,,B2,169 BARCLAY AVENUE,,10312,2,0,2,"4,000","2,090",2012,1,B2,"900,000",2020/2/21
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6221,18,,B3,1020 ARDEN AVENUE,,10312,2,0,2,"5,670","2,528",1955,1,B3,"935,000",2020/2/13
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6222,129,,B9,50 JEANNETTE AVENUE,,10312,2,0,2,"2,825","1,600",2004,1,B9,"655,000",2019/8/23
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6228,16,,B2,181 DETROIT AVENUE,,10312,2,0,2,"4,000","2,698",2018,1,B2,"918,971",2019/8/5
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6232,15,,B2,174 RATHBUN AVENUE,,10312,2,0,2,"4,000","1,807",1965,1,B2,0,2020/1/8
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6232,15,,B2,174 RATHBUN AVENUE,,10312,2,0,2,"4,000","1,807",1965,1,B2,0,2019/9/25
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6234,70,,B2,211 RENSSELAER AVENUE,,10312,2,0,2,"4,000","2,500",1997,1,B2,"820,000",2020/3/9
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6238,19,,B3,250 CROWN AVENUE,,10312,2,0,2,"8,000","1,504",1935,1,B3,"700,000",2019/12/23
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6238,48,,B9,177 VINELAND AVE,,10312,2,0,2,"2,900","1,400",2000,1,B9,0,2020/1/21
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6238,68,,B2,217 VINELAND AVE,,10312,2,0,2,"8,000","3,180",1950,1,B2,"700,000",2019/8/5
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6239,83,,B2,257 CROWN AVENUE,,10312,2,0,2,"4,800","2,875",2018,1,B2,0,2019/9/6
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6246,21,,B2,1 POILLON AVENUE,,10312,2,0,2,"10,661","3,088",1978,1,B2,"950,000",2019/7/26
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6246,63,,B2,5041 AMBOY ROAD,,10312,2,0,2,"9,306","2,700",1992,1,B2,0,2020/1/21
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6249,48,,B2,72 TENAFLY PLACE,,10312,2,0,2,"3,512","2,423",2018,1,B2,"901,151",2019/6/25
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6249,410,,B2,928 ANNADALE ROAD,,10312,2,0,2,"5,925","2,288",1965,1,B2,"400,000",2019/6/9
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6249,649,,B2,41 TENAFLY PLACE,,10312,2,0,2,"3,936","2,726",2019,1,B2,"941,881",2020/1/24
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6250,8,,B2,241 ALBEE AVENUE,,10312,2,0,2,"4,040","1,952",1970,1,B2,"550,000",2020/5/4
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6250,8,,B2,241 ALBEE AVE,,10312,2,0,2,"4,040","1,952",1970,1,B2,"400,000",2020/2/4
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6252,83,,B2,79 DOWNES AVENUE,,10312,2,0,2,"3,000","1,320",1984,1,B2,0,2019/8/9
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6254,133,,B2,141 SOUTH RAILROAD ST,,10312,2,0,2,"3,600","2,496",2003,1,B2,"650,000",2020/1/30
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6254,133,,B2,141 SOUTH RAILROAD ST,,10312,2,0,2,"3,600","2,496",2003,1,B2,500,2019/10/7
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6261,42,,B2,162 JEFFERSON BOULEVARD,,10312,2,0,2,"5,750","1,880",1997,1,B2,"889,000",2019/7/1
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6266,9,,B2,314 SHELDON AVE,,10312,2,0,2,"4,080","2,186",1986,1,B2,"765,000",2019/12/18
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6266,17,,B2,298 SHELDON AVENUE,,10312,2,0,2,"4,000","2,200",1999,1,B2,"900,000",2019/12/27
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6267,1,,B9,244 SINCLAIR AVENUE,,10312,2,0,2,"3,360","1,216",2002,1,B9,0,2019/6/17
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6267,19,,B2,208 SINCLAIR AVENUE,,10312,2,0,2,"4,000","2,156",1992,1,B2,0,2020/2/18
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6271,12,,B2,N/A JEFFERSON BOULEVARD,,10312,2,0,2,"7,000","3,901",2019,1,B2,"1,008,072",2019/12/5
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6277,33,,B2,337 DETROIT AVENUE,,10312,2,0,2,"6,000","2,782",1975,1,B2,"865,000",2020/2/28
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6278,4,,B2,279 EDGEGROVE AVENUE,,10312,2,0,2,"10,000","2,304",1960,1,B2,0,2019/10/15
